lat, lon, Styrofoam_Box, Styrofoam_Piece, PET_Bottle, Glass, Metal, Plastic_ETC, Rope
35.169747, 128.036436, 0, 4, 0, 0, 0, 1, 0
35.169712, 128.036402, 0, 5, 6, 0, 0, 2, 0
35.169676, 128.036367, 0, 7, 8, 0, 1, 7, 0
35.169641, 128.036331, 1, 7, 5, 0, 1, 3, 1
35.169624, 128.036291, 1, 11, 3, 0, 0, 6, 0
35.169607, 128.036266, 1, 13, 3, 0, 0, 6, 0
35.169583, 128.036244, 1, 11, 2, 0, 0, 4, 0
35.169560, 128.036224, 0, 8, 8, 0, 0, 2, 0
35.169534, 128.036197, 0, 4, 10, 0, 1, 7, 0
35.169503, 128.036166, 0, 7, 7, 1, 1, 13, 0
35.169473, 128.036124, 0, 15, 7, 0, 2, 12, 0
35.169463, 128.036050, 0, 22, 6, 0, 2, 5, 0
35.169436, 128.036004, 0, 20, 8, 0, 1, 10, 0
35.169406, 128.035973, 1, 16, 3, 0, 0, 10, 0
35.169399, 128.035920, 0, 13, 8, 0, 1, 8, 0
35.169402, 128.035874, 1, 12, 8, 0, 0, 5, 0
35.169379, 128.035874, 0, 11, 10, 0, 0, 5, 0
35.169350, 128.035888, 0, 12, 13, 0, 2, 6, 0
35.169334, 128.035879, 0, 8, 12, 0, 4, 6, 0
35.169311, 128.035852, 0, 6, 13, 0, 3, 14, 0
35.169283, 128.035822, 0, 10, 15, 0, 2, 16, 0
35.169251, 128.035792, 0, 12, 12, 0, 2, 12, 0
35.169219, 128.035758, 0, 16, 9, 0, 0, 12, 0
35.169186, 128.035721, 0, 15, 1, 0, 0, 9, 0
35.169154, 128.035685, 0, 7, 3, 0, 1, 5, 0
35.169123, 128.035651, 0, 8, 7, 0, 3, 6, 0
35.169092, 128.035618, 0, 10, 6, 0, 2, 6, 0
35.169060, 128.035584, 0, 16, 5, 0, 0, 2, 0
35.169029, 128.035551, 0, 17, 7, 0, 1, 7, 0
35.169003, 128.035523, 1, 10, 7, 0, 1, 3, 0
35.168972, 128.035490, 0, 5, 4, 0, 0, 3, 0
35.168942, 128.035460, 0, 4, 3, 0, 0, 3, 0
35.168912, 128.035431, 0, 4, 6, 0, 0, 5, 0
35.168880, 128.035401, 0, 6, 3, 0, 0, 8, 0
35.168852, 128.035375, 0, 5, 2, 0, 1, 2, 0
35.168823, 128.035343, 0, 7, 1, 0, 1, 3, 0
35.168790, 128.035310, 1, 9, 3, 0, 0, 4, 0
35.168757, 128.035278, 0, 10, 3, 0, 0, 4, 0
